distance,air_time,dest
1029,189,MSP
765,150,BNA
1029,173,MSP
589,118,CVG
589,115,CVG
1029,153,MSP
1029,167,MSP
765,139,BNA
589,111,CVG
589,116,CVG
1029,164,MSP
1029,149,MSP
1029,152,MSP
765,125,BNA
589,90,CVG
1029,158,MSP
765,120,BNA
1029,166,MSP
1029,155,MSP
589,90,CVG
1029,156,MSP
765,136,BNA
1029,155,MSP
1029,158,MSP
589,105,CVG
1029,157,MSP
1029,152,MSP
765,122,BNA
1029,167,MSP
589,105,CVG
1029,165,MSP
1029,156,MSP
765,113,BNA
1029,164,MSP
589,98,CVG
1029,169,MSP
1029,169,MSP
765,124,BNA
1029,165,MSP
589,98,CVG
1029,172,MSP
1029,185,MSP
765,132,BNA
1029,185,MSP
589,98,CVG
1029,170,MSP
1029,162,MSP
765,114,BNA
1029,172,MSP
589,85,CVG
1029,157,MSP
1029,177,MSP
765,117,BNA
1029,163,MSP
589,93,CVG
1029,167,MSP
1029,163,MSP
765,109,BNA
1029,157,MSP
589,95,CVG
1029,158,MSP
1029,155,MSP
765,141,BNA
1029,157,MSP
589,100,CVG
1029,161,MSP
1029,190,MSP
765,133,BNA
1029,177,MSP
589,103,CVG
1029,187,MSP
1029,182,MSP
765,141,BNA
1029,176,MSP
589,108,CVG
1029,169,MSP
1029,179,MSP
765,142,BNA
1029,173,MSP
1029,182,MSP
765,123,BNA
1029,160,MSP
1029,164,MSP
589,103,CVG
1029,174,MSP
1029,167,MSP
765,119,BNA
1029,160,MSP
589,97,CVG
1029,161,MSP
765,124,BNA
1029,167,MSP
1029,167,MSP
589,103,CVG
1029,172,MSP
1029,163,MSP
765,126,BNA
1029,162,MSP
589,106,CVG
1029,162,MSP
765,140,BNA
1029,156,MSP
1029,160,MSP
589,116,CVG
1029,160,MSP
1029,162,MSP
765,126,BNA
1029,172,MSP
589,103,CVG
1029,172,MSP
1029,171,MSP
765,123,BNA
1029,165,MSP
589,101,CVG
1029,172,MSP
765,122,BNA
1029,186,MSP
1029,186,MSP
589,100,CVG
1029,160,MSP
1029,159,MSP
765,124,BNA
1029,160,MSP
589,101,CVG
1029,166,MSP
1029,174,MSP
765,113,BNA
1029,175,MSP
589,94,CVG
1029,172,MSP
1029,179,MSP
765,116,BNA
589,100,CVG
1029,166,MSP
1029,168,MSP
1029,173,MSP
765,107,BNA
1029,171,MSP
589,100,CVG
1029,180,MSP
1029,157,MSP
765,119,BNA
1029,173,MSP
589,99,CVG
1029,153,MSP
1029,148,MSP
1029,147,MSP
589,107,CVG
1029,149,MSP
1029,152,MSP
1029,150,MSP
589,105,CVG
